"gene"	"accession"	"human"
"SMESG000002774.1"	"GO:0006355"	"NKX6-1"
"SMESG000002896.1"	"GO:0006355"	NA
"SMESG000008704.1"	"GO:0006355"	"YBX1,YBX2"
"SMESG000008973.1"	"GO:0006355"	"TSHZ3"
"SMESG000009969.1"	"GO:0006355"	"HEY2"
"SMESG000010136.1"	"GO:0006355"	"NFYA"
"SMESG000010567.1"	"GO:0006355"	"NFIB"
"SMESG000011025.1"	"GO:0006355"	"FKBP2"
"SMESG000013430.1"	"GO:0006355"	"POU4F3"
"SMESG000016670.1"	"GO:0006355"	"DLX4,VSX1"
"SMESG000017121.1"	"GO:0006355"	"ZNF142"
"SMESG000017206.1"	"GO:0006355"	"TLX3"
"SMESG000017245.1"	"GO:0006355"	"MAP3K3"
"SMESG000017514.1"	"GO:0006355"	"ESPL1"
"SMESG000020038.1"	"GO:0006355"	"ALX4"
"SMESG000021468.1"	"GO:0006355"	"TEAD3"
"SMESG000022667.1"	"GO:0006355"	"HOXB7"
"SMESG000022668.1"	"GO:0006355"	"HOXD9"
"SMESG000023118.1"	"GO:0006355"	"NKX6-1"
"SMESG000023227.1"	"GO:0006355"	"SP3"
"SMESG000023303.1"	"GO:0006355"	"MED1"
"SMESG000023378.1"	"GO:0006355"	"TBX2"
"SMESG000026022.1"	"GO:0006355"	NA
"SMESG000026144.1"	"GO:0006355"	NA
"SMESG000026461.1"	"GO:0006355"	"POU2F2"
"SMESG000027221.1"	"GO:0006355"	"RBPJ"
"SMESG000028598.1"	"GO:0006355"	"NFIA"
"SMESG000032180.1"	"GO:0006355"	"YBX3"
"SMESG000032189.1"	"GO:0006355"	"YBX3"
"SMESG000033048.1"	"GO:0006355"	"HOXD9"
"SMESG000034317.1"	"GO:0006355"	"MYF5"
"SMESG000034433.1"	"GO:0006355"	"CCAR1"
"SMESG000034905.1"	"GO:0006355"	"ZNFX1"
"SMESG000036336.1"	"GO:0006355"	"ERG"
"SMESG000037259.1"	"GO:0006355"	NA
"SMESG000037282.1"	"GO:0006355"	"NKX2-4"
"SMESG000040645.1"	"GO:0006355"	"FOXK1"
"SMESG000043328.1"	"GO:0006355"	"NELFB"
"SMESG000044469.1"	"GO:0006355"	"HOXC4"
"SMESG000045025.1"	"GO:0006355"	"DLX1"
