"gene"	"accession"	"human"
"SMESG000031677.1"	"GO:0015937"	"PANK4"
"SMESG000077416.1"	"GO:0015937"	"PANK3"
"SMESG000077667.1"	"GO:0015937"	NA
"SMESG000077668.1"	"GO:0015937"	NA
"SMESG000077669.1"	"GO:0015937"	NA
"SMESG000077670.1"	"GO:0015937"	"LRRD1"
"SMESG000077674.1"	"GO:0015937"	"PANK3,PANK4"
"SMESG000000022.1"	"GO:0055085"	"SVOP"
"SMESG000000247.1"	"GO:0055085"	"ABCC3"
"SMESG000004900.1"	"GO:0055085"	"TRPM2"
"SMESG000004911.1"	"GO:0055085"	"TRPM6"
"SMESG000008715.1"	"GO:0055085"	"MFSD6"
"SMESG000009493.1"	"GO:0055085"	"MFSD7"
"SMESG000010767.1"	"GO:0055085"	"TMEM220"
"SMESG000014323.1"	"GO:0055085"	"SLC2A1"
"SMESG000015183.1"	"GO:0055085"	"KIAA1919"
"SMESG000016040.1"	"GO:0055085"	"CACNA1S"
"SMESG000016446.1"	"GO:0055085"	NA
"SMESG000017042.1"	"GO:0055085"	"SLC17A7"
"SMESG000017053.1"	"GO:0055085"	"DIRC2"
"SMESG000020112.1"	"GO:0055085"	"SVOP"
"SMESG000022140.1"	"GO:0055085"	"KCNB1"
"SMESG000022802.1"	"GO:0055085"	"SLC8B1"
"SMESG000022809.1"	"GO:0055085"	"SLC8B1"
"SMESG000022975.1"	"GO:0055085"	NA
"SMESG000024277.1"	"GO:0055085"	"SLC18A1"
"SMESG000025785.1"	"GO:0055085"	"SLC22A5"
"SMESG000025835.1"	"GO:0055085"	"SVOP"
"SMESG000027903.1"	"GO:0055085"	"SLC39A1"
"SMESG000036138.1"	"GO:0055085"	"ATP6AP1"
"SMESG000039123.1"	"GO:0055085"	"CERS2"
"SMESG000041534.1"	"GO:0055085"	"SLC18A2"
"SMESG000042094.1"	"GO:0055085"	"SLC35B4"
"SMESG000043557.1"	"GO:0055085"	"SLC43A3"
"SMESG000045168.1"	"GO:0055085"	"TPCN1"
"SMESG000047243.1"	"GO:0055085"	"RBCK1"
"SMESG000056325.1"	"GO:0055085"	"SLC2A13"
"SMESG000056663.1"	"GO:0055085"	"MPC2"
"SMESG000057345.1"	"GO:0055085"	"SVOP"
"SMESG000058704.1"	"GO:0055085"	"SLC45A2"
"SMESG000058838.1"	"GO:0055085"	"TPCN2"
"SMESG000061292.1"	"GO:0055085"	"ABCC10"
"SMESG000061390.1"	"GO:0055085"	"SLC17A7"
"SMESG000061391.1"	"GO:0055085"	NA
"SMESG000061394.1"	"GO:0055085"	NA
"SMESG000061401.1"	"GO:0055085"	NA
"SMESG000061826.1"	"GO:0055085"	"CLCN1"
"SMESG000061912.1"	"GO:0055085"	"TERT"
"SMESG000062083.1"	"GO:0055085"	"MFSD9"
"SMESG000062468.1"	"GO:0055085"	"SLC17A7"
"SMESG000064498.1"	"GO:0055085"	NA
"SMESG000064528.1"	"GO:0055085"	"SLC22A5"
"SMESG000064631.1"	"GO:0055085"	NA
"SMESG000064878.1"	"GO:0055085"	"SLC35B1"
"SMESG000064892.1"	"GO:0055085"	"SLC35B3"
"SMESG000065064.1"	"GO:0055085"	"SLC46A3"
"SMESG000065239.1"	"GO:0055085"	NA
"SMESG000066785.1"	"GO:0055085"	"MFSD10"
"SMESG000069667.1"	"GO:0055085"	NA
"SMESG000070797.1"	"GO:0055085"	"ABCB6"
"SMESG000070808.1"	"GO:0055085"	"ABCB6"
"SMESG000071239.1"	"GO:0055085"	"SVOPL"
"SMESG000072400.1"	"GO:0055085"	"SVOP"
"SMESG000073280.1"	"GO:0055085"	"SLC26A11"
"SMESG000074840.1"	"GO:0055085"	"KCNK1"
"SMESG000075620.1"	"GO:0055085"	"SLC17A7"
"SMESG000076103.1"	"GO:0055085"	NA
"SMESG000077471.1"	"GO:0055085"	"ATP6AP1"
"SMESG000077649.1"	"GO:0055085"	"WWOX"
"SMESG000077985.1"	"GO:0055085"	"KCNK7"
"SMESG000078078.1"	"GO:0055085"	"SFXN1"
"SMESG000078177.1"	"GO:0055085"	"PEX13"
"SMESG000079731.1"	"GO:0055085"	"KCNA2"
"SMESG000080390.1"	"GO:0055085"	"SLC46A3"
"SMESG000081298.1"	"GO:0055085"	"SLC7A1"
"SMESG000081300.1"	"GO:0055085"	"SLC7A1"
"SMESG000081400.1"	"GO:0055085"	"GTDC1"
"SMESG000023089.1"	"GO:0006750"	"GGCT"
"SMESG000023090.1"	"GO:0006750"	"GGCT"
"SMESG000062507.1"	"GO:0006750"	"LRP4"
"SMESG000071214.1"	"GO:0006750"	"PNKD"
"SMESG000081975.1"	"GO:0006750"	"HAGH"
"SMESG000013364.1"	"GO:0006506"	"PIGU"
"SMESG000015436.1"	"GO:0006506"	"PIGQ"
